ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
DOGEUSDT,hgb,5,84353,84353.0,0.5175630979336835,0.5172672084669788,0.5265259937625018,0.24948125689676198,0.6921106863834885,0.002006049618253236,0.500690404135213,0.4958448425070833,9.96450731500428e-25
DOGEUSDT,hgb,10,85355,42677.5,0.5259094370569972,0.525581139594733,0.5328880490372688,0.24937119709524633,0.6918982023417499,0.0024020692226892626,0.5098983562080155,0.49467518013004513,5.078314085038248e-27
DOGEUSDT,hgb,15,85744,28581.333333333332,0.53063771225975,0.5298821907491896,0.5390578443138799,0.24897757419702118,0.6911083091322122,0.003961178481932115,0.5092003791009206,0.49432030229520435,1.9939585127940952e-25
DOGEUSDT,reversal_h,5,84353,84353.0,0.5094068972057899,0.5092870014264783,0.5091131767019805,0.25003514279278743,0.6932177094440859,-0.00020964698481429345,0.49380862617828675,0.4958448425070833,2.3684565193787834e-08
DOGEUSDT,reversal_h,10,85355,42677.5,0.5184933512975222,0.5184163989642053,0.5188917593619858,0.24965524222365415,0.6924575050833618,0.001265759834725766,0.5039765685434049,0.49467518013004513,1.091262100746347e-14
DOGEUSDT,reversal_h,15,85744,28581.333333333332,0.5264391677551782,0.5263848109080325,0.5264690017467708,0.249357534054861,0.6918617718041996,0.0024411429114695737,0.5071004875136269,0.49432030229520435,2.0573964478247078e-19
DOGEUSDT,momentum_h,5,84353,84353.0,0.4918971465152395,0.4917124927070755,0.49088682329801947,0.25073553282040945,0.6946192373000462,-0.003011400588146973,0.5075360081813564,0.4958448425070833,0.9999987629978162
DOGEUSDT,momentum_h,10,85355,42677.5,0.48176439575888935,0.4815703487857357,0.48110824063801416,0.25112440044519946,0.6953973901346949,-0.004611539624354455,0.49640581363031033,0.49467518013004513,0.9999999999999769
DOGEUSDT,momentum_h,15,85744,28581.333333333332,0.47473875723082665,0.47455304821498145,0.4735309982532293,0.25142555047583504,0.696000012650402,-0.00583199030331949,0.49337435507662414,0.49432030229520435,1.0
DOGEUSDT,always_up,5,84353,84353.0,0.4958448425070833,0.5,0.5,0.25056620629971665,0.6942804112999752,-0.002334047726482824,0.49826808683607005,0.4958448425070833,0.9921769595812444
DOGEUSDT,always_up,10,85355,42677.5,0.49467518013004513,0.5,0.5,0.2506129927947982,0.6943740342436971,-0.0025656769915936017,0.4975695521810655,0.49467518013004513,0.9863551888856155
DOGEUSDT,always_up,15,85744,28581.333333333332,0.49432030229520435,0.5,0.5,0.25062718790819183,0.6944024396264911,-0.002638127909952992,0.4970291887329256,0.49432030229520435,0.973093222666566
DOGEUSDT,majority_prev_day,5,84353,84353.0,0.5029459533152348,0.5017959253365767,0.5020000780869857,0.25027463634962593,0.6936969587330949,-0.0011676873757167083,0.5004549993093806,0.4958448425070833,0.04383847289020858
DOGEUSDT,majority_prev_day,10,85355,42677.5,0.502958233261086,0.5018363334504885,0.5019398500266453,0.2502774295589011,0.693702548104849,-0.0012232717993532205,0.5019772750485487,0.49467518013004513,0.11126215874101274
DOGEUSDT,majority_prev_day,15,85744,28581.333333333332,0.5053648068669528,0.5041405602818738,0.5038865757291775,0.25019352491136404,0.6935346492193128,-0.0009032520614375983,0.5050396304883737,0.49432030229520435,0.0351456238184051
