lag_ms,corr,n,asset,horloge,horizon_s
-1000,0.7037913417866251,3393,btc,serveur,5.0
-900,0.7118666142508899,3393,btc,serveur,5.0
-800,0.7244209890621109,3393,btc,serveur,5.0
-700,0.7442968773427788,3393,btc,serveur,5.0
-600,0.7643526188530329,3393,btc,serveur,5.0
-500,0.7686481513000947,3393,btc,serveur,5.0
-400,0.7850059908470597,3393,btc,serveur,5.0
-300,0.809768533286235,3392,btc,serveur,5.0
-200,0.8255407720763628,3392,btc,serveur,5.0
-100,0.8481429027081947,3392,btc,serveur,5.0
0,0.8555310886674643,3392,btc,serveur,5.0
100,0.8639626976568564,3392,btc,serveur,5.0
200,0.8733316548885599,3392,btc,serveur,5.0
300,0.8868157130669782,3392,btc,serveur,5.0
400,0.8940013870029151,3392,btc,serveur,5.0
500,0.8944438563844156,3392,btc,serveur,5.0
600,0.8930479594447247,3392,btc,serveur,5.0
700,0.8938348391711292,3391,btc,serveur,5.0
800,0.8871061849578105,3391,btc,serveur,5.0
900,0.8788124664011548,3391,btc,serveur,5.0
1000,0.8765152075160011,3391,btc,serveur,5.0
1100,0.8681401488423118,3391,btc,serveur,5.0
1200,0.8632489223460539,3391,btc,serveur,5.0
1300,0.8479373277694725,3391,btc,serveur,5.0
1400,0.8407721528901841,3391,btc,serveur,5.0
1500,0.8334214819697999,3391,btc,serveur,5.0
1600,0.8179703946529541,3391,btc,serveur,5.0
1700,0.8002700623827496,3390,btc,serveur,5.0
1800,0.7716744294296052,3390,btc,serveur,5.0
1900,0.7479517379180269,3390,btc,serveur,5.0
2000,0.7444445982280811,3390,btc,serveur,5.0
2100,0.7311154242357855,3390,btc,serveur,5.0
2200,0.7228779838535676,3390,btc,serveur,5.0
2300,0.7049244271868238,3390,btc,serveur,5.0
2400,0.689180862603473,3390,btc,serveur,5.0
2500,0.681323611679499,3390,btc,serveur,5.0
2600,0.6617743963120082,3390,btc,serveur,5.0
2700,0.6405550180852687,3389,btc,serveur,5.0
2800,0.6100460635705547,3389,btc,serveur,5.0
2900,0.5838358701422475,3389,btc,serveur,5.0
3000,0.5803263091353681,3389,btc,serveur,5.0
3100,0.5639476049613932,3389,btc,serveur,5.0
3200,0.5555994389641905,3389,btc,serveur,5.0
3300,0.5367741584871227,3389,btc,serveur,5.0
3400,0.5224862433068378,3389,btc,serveur,5.0
3500,0.51323112767424,3389,btc,serveur,5.0
3600,0.485625938721219,3389,btc,serveur,5.0
3700,0.4626841326103709,3388,btc,serveur,5.0
3800,0.4336532929642855,3388,btc,serveur,5.0
3900,0.40808419076812735,3388,btc,serveur,5.0
4000,0.4019747077166464,3388,btc,serveur,5.0
4100,0.39135413597095464,3388,btc,serveur,5.0
4200,0.3840409397493734,3388,btc,serveur,5.0
4300,0.36374646321214316,3388,btc,serveur,5.0
4400,0.3472639795234462,3388,btc,serveur,5.0
4500,0.3391404009607246,3388,btc,serveur,5.0
4600,0.3148253302149029,3388,btc,serveur,5.0
4700,0.2891110436284416,3387,btc,serveur,5.0
4800,0.2607455250691074,3387,btc,serveur,5.0
4900,0.23383893196675656,3387,btc,serveur,5.0
5000,0.2268311703157722,3387,btc,serveur,5.0
5100,0.21687713795201793,3387,btc,serveur,5.0
5200,0.21117512493107776,3387,btc,serveur,5.0
5300,0.1933247843602336,3387,btc,serveur,5.0
5400,0.17950936050614452,3387,btc,serveur,5.0
5500,0.17339315001122063,3387,btc,serveur,5.0
5600,0.16168330880990942,3387,btc,serveur,5.0
5700,0.1493778439018331,3386,btc,serveur,5.0
5800,0.14077688719225567,3386,btc,serveur,5.0
5900,0.12911211162520678,3386,btc,serveur,5.0
6000,0.12985770116017498,3386,btc,serveur,5.0
6100,0.1296191815017782,3386,btc,serveur,5.0
6200,0.13039906693239994,3386,btc,serveur,5.0
6300,0.12501151072691682,3386,btc,serveur,5.0
6400,0.12778602390886884,3386,btc,serveur,5.0
6500,0.1256919084623794,3386,btc,serveur,5.0
6600,0.1264389957915667,3386,btc,serveur,5.0
6700,0.12134897722567604,3385,btc,serveur,5.0
6800,0.11691115062149553,3385,btc,serveur,5.0
6900,0.1138883947717017,3385,btc,serveur,5.0
7000,0.11177565049755213,3385,btc,serveur,5.0
7100,0.11263994767875969,3385,btc,serveur,5.0
7200,0.11314843530727972,3385,btc,serveur,5.0
7300,0.10830143681810991,3385,btc,serveur,5.0
7400,0.11020555449024423,3385,btc,serveur,5.0
7500,0.10806941376745396,3385,btc,serveur,5.0
7600,0.1153532546247626,3385,btc,serveur,5.0
7700,0.11377927807686246,3384,btc,serveur,5.0
7800,0.11309493199618174,3384,btc,serveur,5.0
7900,0.10982266995423534,3384,btc,serveur,5.0
8000,0.10500206291987195,3384,btc,serveur,5.0
8100,0.10616746399251438,3384,btc,serveur,5.0
8200,0.10665744263394682,3384,btc,serveur,5.0
8300,0.10246210249912545,3384,btc,serveur,5.0
8400,0.09807789377387707,3384,btc,serveur,5.0
8500,0.09667707760857541,3384,btc,serveur,5.0
8600,0.10623464440079039,3384,btc,serveur,5.0
8700,0.10685256209640866,3383,btc,serveur,5.0
8800,0.10641413660326941,3383,btc,serveur,5.0
8900,0.10519109732403588,3383,btc,serveur,5.0
9000,0.10391946906942616,3383,btc,serveur,5.0
9100,0.10428874700134746,3383,btc,serveur,5.0
9200,0.1028007126520093,3383,btc,serveur,5.0
9300,0.10225995339761258,3383,btc,serveur,5.0
9400,0.09788264357209549,3383,btc,serveur,5.0
9500,0.09689730655835936,3383,btc,serveur,5.0
9600,0.10695023810272686,3383,btc,serveur,5.0
9700,0.10884820932885962,3382,btc,serveur,5.0
9800,0.10909453597554811,3382,btc,serveur,5.0
9900,0.10736177063313185,3382,btc,serveur,5.0
10000,0.10513576002073635,3382,btc,serveur,5.0
