slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789121100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789121040.0,1789121100.0,91.0,False,True,True,1789121088.0,48.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789121400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789121340.0,1789121400.0,100.0,False,True,True,1789121370.0,30.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789121400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789121340.0,1789121400.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789121700,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789121640.0,1789121700.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789121700,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789121640.0,1789121700.0,91.0,False,True,True,1789121664.0,24.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789122000,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789121940.0,1789122000.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789122000,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789121940.0,1789122000.0,91.0,False,True,True,1789121994.0,54.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789122300,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789122240.0,1789122300.0,100.0,False,True,True,1789122283.0,43.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789122300,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789122240.0,1789122300.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789122600,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789122540.0,1789122600.0,100.0,False,True,True,1789122574.0,34.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
